"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	00,"Estados_Unidos_Mexicanos","2023","10,147,449","4,356,206","5,791,243",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	01,"Aguascalientes","2023","141,659","66,632","75,027",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	02,"Baja_California","2023","452,844","196,636","256,208",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	03,"Baja_California_Sur","2023","47,025","21,700","25,325",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	04,"Campeche","2023","77,025","35,357","41,668",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	05,"Coahuila_de_Zaragoza","2023","404,560","163,437","241,123",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	06,"Colima","2023","72,920","33,890","39,030",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	07,"Chiapas","2023","164,650","64,747","99,903",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	08,"Chihuahua","2023","487,373","200,434","286,939",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	09,"Ciudad_de_México","2023","1,167,814","471,094","696,720",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	10,"Durango","2023","175,020","76,585","98,435",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	11,"Guanajuato","2023","498,196","218,277","279,919",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	12,"Guerrero","2023","54,055","18,680","35,375",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	13,"Hidalgo","2023","85,153","34,506","50,647",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	14,"Jalisco","2023","611,016","272,522","338,494",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	15,"México","2023","1,742,282","811,788","930,494",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	16,"Michoacán_de_Ocampo","2023","182,167","77,853","104,314",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	17,"Morelos","2023","144,546","56,528","88,018",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	18,"Nayarit","2023","62,812","20,929","41,883",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	19,"Nuevo_León","2023","806,755","355,518","451,237",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	20,"Oaxaca","2023","92,442","37,954","54,488",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	21,"Puebla","2023","315,507","148,446","167,061",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	22,"Querétaro","2023","127,476","51,481","75,995",
"Población_de_18_años_y_más_cuyos_hijos_e_hijas_fueron_usuarios_de_servicios_de_educación_primaria,_secundaria_o_bachillerato_que_está_muy_satisfecha_o_satisfecha_con_el_servicio_recibido",	23,"Quintana_Roo","2023","227,023","97,360","129,663",
