"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	00,"Estados_Unidos_Mexicanos","2023","4,567,169","1,998,490","2,568,679",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	01,"Aguascalientes","2023","45,004","19,065","25,939",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	02,"Baja_California","2023","228,976","110,678","118,298",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	03,"Baja_California_Sur","2023","21,560","9,789","11,771",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	04,"Campeche","2023","25,383","11,567","13,816",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	05,"Coahuila_de_Zaragoza","2023","128,138","51,557","76,581",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	06,"Colima","2023","33,928","16,711","17,217",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	07,"Chiapas","2023","86,560","30,301","56,259",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	08,"Chihuahua","2023","217,110","80,610","136,500",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	09,"Ciudad_de_México","2023","703,000","298,966","404,034",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	10,"Durango","2023","64,744","30,087","34,657",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	11,"Guanajuato","2023","121,934","46,772","75,162",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	12,"Guerrero","2023","22,170","5,859","16,311",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	13,"Hidalgo","2023","45,445","20,933","24,512",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	14,"Jalisco","2023","229,771","116,815","112,956",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	15,"México","2023","982,612","354,857","627,755",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	16,"Michoacán_de_Ocampo","2023","68,016","28,685","39,331",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	17,"Morelos","2023","70,918","30,586","40,332",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	18,"Nayarit","2023","35,969","13,570","22,399",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	19,"Nuevo_León","2023","326,403","181,713","144,690",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	20,"Oaxaca","2023","39,310","17,738","21,572",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	21,"Puebla","2023","144,783","71,239","73,544",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	22,"Querétaro","2023","75,917","37,309","38,608",
"Población_de_18_años_y_más_usuaria_del_servicio_de_educación_pública_universitaria_que_habita_en_áreas_urbanas_de_cien_mil_habitantes_y_más",	23,"Quintana_Roo","2023","54,092","28,444","25,648",
