"Serie","cvegeo","Entidad_federativa","Periodo","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Total","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Hombres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Mujeres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_indígena","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Niñas,_niños_y_adolescentes_(0_a_17_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Jóvenes_(18_a_29_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_(30_a_64_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_mayores_(65_años_o_más)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_rural","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_urbana",
"Población_de_referencia",	00,"Estados_Unidos_Mexicanos","2022","128,887.659 a/ ","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Población_de_referencia",	01,"Aguascalientes","2022","1,483.822 a/ ","705.36 a/ ","778.462 a/ ","ND b/ ","478.129 a/ ","298.636 a/ ","588.059 a/ ","118.998 a/ ","358.177 a/ ","1,125.645 a/ ",
"Población_de_referencia",	02,"Baja_California","2022","3,822.032 a/ ","1,894.491 a/ ","1,927.541 a/ ","ND b/ ","990.959 a/ ","822.912 a/ ","1,701.653 a/ ","306.508 a/ ","408.099 a/ ","3,413.933 a/ ",
"Población_de_referencia",	03,"Baja_California_Sur","2022","841.389 a/ ","416.237 a/ ","425.152 a/ ","ND b/ ","221.413 a/ ","166.563 a/ ","387.13 a/ ","66.283 a/ ","123.337 a/ ","718.052 a/ ",
"Población_de_referencia",	04,"Campeche","2022","950.528 a/ ","468.169 a/ ","482.359 a/ ","199.932 a/ ","293.321 a/ ","176.68 a/ ","402.757 a/ ","77.77 a/ ","284.845 a/ ","665.683 a/ ",
"Población_de_referencia",	05,"Coahuila_de_Zaragoza","2022","3,273.132 a/ ","1,612.79 a/ ","1,660.342 a/ ","ND b/ ","985.426 a/ ","618.534 a/ ","1,399.037 a/ ","270.135 a/ ","308.463 a/ ","2,964.669 a/ ",
"Población_de_referencia",	06,"Colima","2022","770.953 a/ ","375.262 a/ ","395.691 a/ ","ND b/ ","218.953 a/ ","144.664 a/ ","339.036 a/ ","68.3 a/ ","83.097 a/ ","687.856 a/ ",
"Población_de_referencia",	07,"Chiapas","2022","5,697.874 a/ ","2,696.624 a/ ","3,001.25 a/ ","1,641.54 a/ ","2,111.123 a/ ","972.605 a/ ","2,160.095 a/ ","454.051 a/ ","3,072.594 a/ ","2,625.28 a/ ",
"Población_de_referencia",	08,"Chihuahua","2022","3,807.52 a/ ","1,863.182 a/ ","1,944.338 a/ ","138.082 a/ ","1,078.593 a/ ","765.245 a/ ","1,628.831 a/ ","334.851 a/ ","555.315 a/ ","3,252.205 a/ ",
"Población_de_referencia",	09,"Ciudad_de_México","2022","9,304.509 a/ ","4,316.746 a/ ","4,987.763 a/ ","262.415 a/ ","1,912.557 a/ ","1,662.385 a/ ","4,461.166 a/ ","1,268.401 a/ ","61.537 a/ ","9,242.972 a/ ",
"Población_de_referencia",	10,"Durango","2022","1,868.505 a/ ","903.372 a/ ","965.133 a/ ","82.927 a/ ","609.859 a/ ","346.884 a/ ","749.697 a/ ","162.065 a/ ","594.821 a/ ","1,273.684 a/ ",
"Población_de_referencia",	11,"Guanajuato","2022","6,277.438 a/ ","3,016.004 a/ ","3,261.434 a/ ","ND b/ ","1,980.263 a/ ","1,204.269 a/ ","2,546.709 a/ ","546.197 a/ ","1,929.101 a/ ","4,348.337 a/ ",
"Población_de_referencia",	12,"Guerrero","2022","3,600.9 a/ ","1,706.339 a/ ","1,894.561 a/ ","849.54 a/ ","1,209.403 a/ ","609.184 a/ ","1,398.536 a/ ","383.777 a/ ","1,585.898 a/ ","2,015.002 a/ ",
"Población_de_referencia",	13,"Hidalgo","2022","3,157.19 a/ ","1,491.155 a/ ","1,666.035 a/ ","716.602 a/ ","928.815 a/ ","564.304 a/ ","1,352.959 a/ ","311.112 a/ ","1,529.526 a/ ","1,627.664 a/ ",
"Población_de_referencia",	14,"Jalisco","2022","8,501.241 a/ ","4,095.296 a/ ","4,405.945 a/ ","ND b/ ","2,437.065 a/ ","1,641.983 a/ ","3,584.403 a/ ","837.79 a/ ","1,336.11 a/ ","7,165.131 a/ ",
"Población_de_referencia",	15,"México","2022","17,322.817 a/ ","8,355.144 a/ ","8,967.673 a/ ","811.336 a/ ","4,666.634 a/ ","3,377.467 a/ ","7,689.964 a/ ","1,588.752 a/ ","2,614.953 a/ ","14,707.864 a/ ",
"Población_de_referencia",	16,"Michoacán_de_Ocampo","2022","4,942.827 a/ ","2,334.304 a/ ","2,608.523 a/ ","476.182 a/ ","1,552.062 a/ ","890.326 a/ ","1,985.952 a/ ","514.487 a/ ","1,637.834 a/ ","3,304.993 a/ ",
"Población_de_referencia",	17,"Morelos","2022","2,009.763 a/ ","946.08 a/ ","1,063.683 a/ ","100.569 a/ ","563.938 a/ ","363.067 a/ ","870.106 a/ ","212.652 a/ ","489.712 a/ ","1,520.051 a/ ",
"Población_de_referencia",	18,"Nayarit","2022","1,261.928 a/ ","615.161 a/ ","646.767 a/ ","93.416 a/ ","388.321 a/ ","219.867 a/ ","523.171 a/ ","130.569 a/ ","424.439 a/ ","837.489 a/ ",
"Población_de_referencia",	19,"Nuevo_León","2022","6,057.849 a/ ","2,996.795 a/ ","3,061.054 a/ ","ND b/ ","1,544.956 a/ ","1,234.303 a/ ","2,670.283 a/ ","608.307 a/ ","474.566 a/ ","5,583.283 a/ ",
"Población_de_referencia",	20,"Oaxaca","2022","4,249.879 a/ ","1,982.584 a/ ","2,267.295 a/ ","1,874.501 a/ ","1,345.051 a/ ","716.978 a/ ","1,710.782 a/ ","477.068 a/ ","2,302.602 a/ ","1,947.277 a/ ",
"Población_de_referencia",	21,"Puebla","2022","6,714.344 a/ ","3,175.904 a/ ","3,538.44 a/ ","1,123.023 a/ ","2,165.801 a/ ","1,253.59 a/ ","2,727.331 a/ ","567.622 a/ ","2,018.577 a/ ","4,695.767 a/ ",
"Población_de_referencia",	22,"Querétaro","2022","2,474.777 a/ ","1,192.989 a/ ","1,281.788 a/ ","78.726 c/ ","698.351 a/ ","516.709 a/ ","1,057.711 a/ ","202.006 a/ ","775.479 a/ ","1,699.298 a/ ",
"Población_de_referencia",	23,"Quintana_Roo","2022","1,916.987 a/ ","954.899 a/ ","962.088 a/ ","580.672 a/ ","528.182 a/ ","384.54 a/ ","872.902 a/ ","131.363 a/ ","261.364 a/ ","1,655.623 a/ ",
"Población_de_referencia",	24,"San_Luis_Potosí","2022","2,872.412 a/ ","1,365.633 a/ ","1,506.779 a/ ","363.54 a/ ","855.133 a/ ","559.991 a/ ","1,161.702 a/ ","295.586 a/ ","1,036.361 a/ ","1,836.051 a/ ",
"Población_de_referencia",	25,"Sinaloa","2022","3,087.933 a/ ","1,475.831 a/ ","1,612.102 a/ ","58.843 c/ ","859.953 a/ ","602.882 a/ ","1,300.758 a/ ","324.34 a/ ","859.033 a/ ","2,228.9 a/ ",
"Población_de_referencia",	26,"Sonora","2022","2,998.104 a/ ","1,485.841 a/ ","1,512.263 a/ ","144.688 a/ ","830.971 a/ ","567.048 a/ ","1,303.029 a/ ","297.056 a/ ","489.173 a/ ","2,508.931 a/ ",
"Población_de_referencia",	27,"Tabasco","2022","2,442.266 a/ ","1,176.084 a/ ","1,266.182 a/ ","232.507 a/ ","752.798 a/ ","434.626 a/ ","1,053.591 a/ ","201.251 a/ ","1,144.411 a/ ","1,297.855 a/ ",
"Población_de_referencia",	28,"Tamaulipas","2022","3,588.633 a/ ","1,727.104 a/ ","1,861.529 a/ ","116.828 c/ ","1,027.202 a/ ","666.349 a/ ","1,525.962 a/ ","369.12 a/ ","423.931 a/ ","3,164.702 a/ ",
"Población_de_referencia",	29,"Tlaxcala","2022","1,370.566 a/ ","649.72 a/ ","720.846 a/ ","98.544 a/ ","426.325 a/ ","261.639 a/ ","570.241 a/ ","112.361 a/ ","275.599 a/ ","1,094.967 a/ ",
