"Serie","cvegeo","Entidad_federativa","Periodo","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Total","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Hombres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Mujeres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_indígena","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Niñas,_niños_y_adolescentes_(0_a_17_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Jóvenes_(18_a_29_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_(30_a_64_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_mayores_(65_años_o_más)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_rural","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_urbana",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	00,"Estados_Unidos_Mexicanos","2022","36.31419048 a/ ","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	01,"Aguascalientes","2022","23.72231979 a/ ","23.04979018 a/ ","24.33169506 a/ ","ND b/ ","30.92219882 a/ ","22.30072731 a/ ","19.44600797 a/ ","19.49360493 a/ ","27.9652239 a/ ","22.37223992 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	02,"Baja_California","2022","13.3708195 a/ ","12.74094203 a/ ","13.98989697 a/ ","ND b/ ","17.91163913 a/ ","12.55577753 a/ ","11.01217463 a/ ","13.97288162 a/ ","12.76969559 a/ ","13.4426774 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	03,"Baja_California_Sur","2022","13.32903092 a/ ","12.5841768 a/ ","14.05826622 a/ ","ND b/ ","18.0206221 a/ ","11.69647521 a/ ","11.44680082 a/ ","12.7528929 a/ ","12.72205421 a/ ","13.43328895 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	04,"Campeche","2022","45.12944385 a/ ","45.22960726 a/ ","45.03222703 a/ ","55.79296961 a/ ","54.98037986 a/ ","44.41362916 a/ ","39.93152198 a/ ","36.52050919 a/ ","60.58101775 a/ ","38.51773291 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	05,"Coahuila_de_Zaragoza","2022","18.24332169 a/ ","17.56998741 a/ ","18.89737175 a/ ","ND b/ ","23.36847211 a/ ","18.06820644 a/ ","14.85228768 a/ ","17.51050401 a/ ","31.96461164 a/ ","16.8156715 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	06,"Colima","2022","20.54716695 a/ ","19.84053808 a/ ","21.21731351 a/ ","ND b/ ","25.86719524 a/ ","16.45675496 a/ ","19.03426185 a/ ","19.66617862 a/ ","18.50367643 a/ ","20.79403247 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	07,"Chiapas","2022","67.37082989 a/ ","67.48286005 a/ ","67.27017076 a/ ","83.98546487 a/ ","77.26622276 a/ ","66.1205731 a/ ","60.89611799 a/ ","54.84273793 a/ ","74.12931875 a/ ","59.46078133 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	08,"Chihuahua","2022","17.57219923 a/ ","18.11830514 a/ ","17.04888759 a/ ","50.16946452 a/ ","23.20986693 a/ ","16.05982398 a/ ","14.63079963 a/ ","17.1768936 a/ ","32.48372545 a/ ","15.02605156 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	09,"Ciudad_de_México","2022","23.96760538 a/ ","24.30180048 a/ ","23.67837044 a/ ","54.00072404 a/ ","34.2694623 a/ ","29.60589755 a/ ","19.50443001 a/ ","16.74202401 a/ ","30.16071632 a/ ","23.92637347 a/ ",
