"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total_Grupo_de_edad|Total","Sexo|Total_Grupo_de_edad|De_5_a_14_años","Sexo|Total_Grupo_de_edad|De_15_a_17_años","Sexo|Hombres_Grupo_de_edad|Total","Sexo|Hombres_Grupo_de_edad|De_5_a_14_años","Sexo|Hombres_Grupo_de_edad|De_15_a_17_años","Sexo|Mujeres_Grupo_de_edad|Total","Sexo|Mujeres_Grupo_de_edad|De_5_a_14_años","Sexo|Mujeres_Grupo_de_edad|De_15_a_17_años",
"Población_de_5_a_17_años",	00,"Estados_Unidos_Mexicanos","2022","28,413,429","21,389,487","7,023,942","14,495,916","10,981,234","3,514,682","13,917,513","10,408,253","3,509,260",
"Población_de_5_a_17_años",	01,"Aguascalientes","2022","341,688","263,177","78,511","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	02,"Baja_California","2022","811,686","596,198","215,488","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	03,"Baja_California_Sur","2022","182,760","140,919","41,841","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	04,"Campeche","2022","209,040","160,650","48,390","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	05,"Coahuila_de_Zaragoza","2022","737,056","564,317","172,739","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	06,"Colima","2022","168,961","128,338","40,623","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	07,"Chiapas","2022","1,626,601","1,278,950","347,651","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	08,"Chihuahua","2022","828,812","628,908","199,904","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	09,"Ciudad_de_México","2022","1,502,521","1,105,055","397,466","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	10,"Durango","2022","469,020","362,103","106,917","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	11,"Guanajuato","2022","1,473,679","1,116,996","356,683","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	12,"Guerrero","2022","935,545","721,387","214,158","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	13,"Hidalgo","2022","699,679","511,464","188,215","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	14,"Jalisco","2022","1,827,107","1,386,195","440,912","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	15,"México","2022","3,604,200","2,643,568","960,632","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	16,"Michoacán_de_Ocampo","2022","1,183,739","917,796","265,943","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	17,"Morelos","2022","423,209","316,546","106,663","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	18,"Nayarit","2022","289,440","223,042","66,398","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	19,"Nuevo_León","2022","1,210,170","920,936","289,234","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	20,"Oaxaca","2022","1,008,614","804,704","203,910","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	21,"Puebla","2022","1,591,527","1,168,174","423,353","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	22,"Querétaro","2022","525,409","388,652","136,757","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	23,"Quintana_Roo","2022","415,562","310,513","105,049","ND","ND","ND","ND","ND","ND",
"Población_de_5_a_17_años",	24,"San_Luis_Potosí","2022","632,086","478,324","153,762","ND","ND","ND","ND","ND","ND",
