Entidad federativa,Nivel educativo,2000/2001,2005/2006,2010/2011,2015/2016,2020/2021,2021/2022,2022/2023,2023/2024
Estados Unidos Mexicanos,Primaria,1.9,1.3,0.7,0.7,0.5,0.2,0.1,0.6
Estados Unidos Mexicanos,Secundaria,8.3,7.7,5.6,4.4,2.9,3.9,3.2,3.7
Estados Unidos Mexicanos,Media superior,17.5,16.5,14.9,15.5,11.6,10.2,11.2,11.3
Estados Unidos Mexicanos,Superior,8.2,7.6,7.1,7.0,8.8,8.1,7.2,7.1
Aguascalientes,Primaria,1.5,1.6,-0.2,0.2,0.7,0.4,0.0,1.4
Aguascalientes,Secundaria,8.0,8.2,4.5,5.9,3.0,4.6,4.7,6.0
Aguascalientes,Media superior,16.6,15.6,15.2,14.2,13.5,8.3,10.7,9.5
Aguascalientes,Superior,3.8,6.1,7.2,6.3,4.8,10.3,8.4,8.1
Baja California,Primaria,1.3,1.2,0.2,-0.2,-0.5,-0.4,-1.4,0.0
Baja California,Secundaria,9.9,7.0,5.6,4.6,1.4,2.9,2.7,2.7
Baja California,Media superior,16.7,20.1,16.2,17.8,15.2,11.2,11.7,11.6
Baja California,Superior,1.1,5.3,3.4,3.9,5.1,8.7,4.8,5.0
Baja California Sur,Primaria,0.7,-0.7,0.6,-0.3,0.0,-0.5,-1.3,0.0
Baja California Sur,Secundaria,7.2,4.6,2.4,4.6,2.0,1.7,0.5,1.9
Baja California Sur,Media superior,19.0,20.4,14.6,14.0,14.0,13.6,9.3,7.7
Baja California Sur,Superior,6.3,17.5,9.6,14.8,15.6,16.2,12.2,8.6
Campeche,Primaria,2.3,2.1,1.3,1.6,1.0,0.3,0.2,0.6
Campeche,Secundaria,10.3,8.6,6.9,8.2,4.6,5.3,4.5,5.1
Campeche,Media superior,18.3,17.6,16.3,17.5,12.9,12.3,12.1,11.8
Campeche,Superior,11.1,14.1,12.2,11.4,12.8,12.0,11.3,11.8
Coahuila ,Primaria,1.0,0.7,0.4,0.7,0.3,0.1,-0.2,0.1
Coahuila ,Secundaria,6.5,6.6,8.2,4.9,2.2,3.7,3.6,3.4
Coahuila ,Media superior,20.5,19.1,17.4,16.1,13.1,12.8,14.0,11.6
Coahuila ,Superior,12.7,9.5,7.6,8.6,11.2,9.6,7.9,6.9
Colima,Primaria,2.7,-0.2,-0.9,0.9,0.5,1.4,-0.1,-0.1
Colima,Secundaria,8.6,4.4,6.0,1.0,3.3,7.3,3.8,4.5
Colima,Media superior,14.9,12.8,13.7,15.4,12.5,12.4,11.6,9.0
Colima,Superior,8.9,8.5,10.8,10.6,14.6,11.8,10.2,9.3
Chiapas,Primaria,2.6,2.9,1.4,1.5,0.8,-0.1,0.5,0.8
Chiapas,Secundaria,6.6,8.0,5.5,5.7,3.9,5.1,5.5,5.4
Chiapas,Media superior,13.4,13.0,10.4,14.3,10.7,11.7,9.8,9.5
Chiapas,Superior,6.1,6.7,4.1,3.6,3.6,7.3,5.0,4.8
Chihuahua,Primaria,3.0,1.9,1.0,0.2,-0.6,0.7,0.3,0.2
Chihuahua,Secundaria,10.1,8.1,5.8,6.4,1.7,5.9,4.5,4.5
Chihuahua,Media superior,20.1,18.7,17.6,16.9,16.5,13.4,13.6,10.7
Chihuahua,Superior,8.1,5.6,6.2,6.6,10.0,10.5,7.4,9.1
Ciudad de México,Primaria,1.0,1.9,0.1,1.3,-0.2,2.5,0.4,0.7
Ciudad de México,Secundaria,7.5,10.0,5.9,-1.2,1.7,4.7,1.9,2.5
Ciudad de México,Media superior,20.7,17.3,18.5,24.4,9.4,14.5,15.1,14.8
Ciudad de México,Superior,9.7,3.6,3.8,3.7,7.7,3.4,4.0,4.0
Durango,Primaria,2.2,1.6,-0.3,0.9,1.2,0.8,-0.3,0.7
Durango,Secundaria,9.7,6.6,6.4,6.8,4.5,4.4,4.6,5.2
Durango,Media superior,20.5,20.2,15.8,18.2,14.6,13.2,12.7,12.5
Durango,Superior,7.1,4.1,5.5,5.9,10.5,5.8,5.1,4.3
Guanajuato,Primaria,1.8,0.8,0.2,0.5,0.6,0.6,0.3,1.2
Guanajuato,Secundaria,9.1,7.8,5.2,5.3,3.6,4.0,3.1,3.7
Guanajuato,Media superior,20.4,16.5,17.5,18.9,15.5,12.7,12.2,13.3
Guanajuato,Superior,10.5,12.6,7.9,1.6,6.8,9.2,8.8,7.7
Guerrero,Primaria,3.8,2.8,1.5,2.1,0.9,0.9,1.4,1.7
Guerrero,Secundaria,12.0,8.9,6.6,6.7,3.2,4.1,4.6,4.6
Guerrero,Media superior,21.2,13.9,12.8,13.1,13.9,13.2,10.8,11.1
Guerrero,Superior,14.0,8.1,10.9,5.0,14.6,11.7,9.0,9.1
Hidalgo,Primaria,1.1,0.3,-0.1,-0.2,-0.1,-0.3,-0.4,0.2
Hidalgo,Secundaria,6.0,4.9,3.4,2.8,2.6,2.2,2.1,2.6
Hidalgo,Media superior,18.9,17.7,14.9,14.8,14.6,13.5,10.5,11.6
Hidalgo,Superior,8.9,3.5,4.4,5.1,8.5,9.0,4.3,3.9
Jalisco,Primaria,2.0,1.1,0.9,0.9,-0.4,1.2,0.5,0.6
Jalisco,Secundaria,11.0,9.4,6.9,5.8,2.1,4.7,4.6,4.2
Jalisco,Media superior,19.0,15.7,15.4,15.3,1.0,0.0,12.8,12.7
Jalisco,Superior,-0.1,2.9,6.5,2.3,3.2,-0.2,-1.8,-0.8
México,Primaria,1.3,1.0,0.5,0.5,1.5,-0.5,0.5,0.6
México,Secundaria,7.9,6.6,4.6,2.4,2.4,1.8,2.3,2.4
México,Media superior,17.0,17.1,15.2,14.6,10.3,8.9,9.8,9.7
México,Superior,6.1,6.8,7.1,9.6,9.4,7.8,8.0,9.6
Michoacán ,Primaria,3.5,1.7,1.4,2.2,2.0,-1.1,1.0,2.2
Michoacán ,Secundaria,11.1,11.1,9.1,9.2,8.1,5.8,6.3,7.3
Michoacán ,Media superior,15.1,14.7,13.0,14.5,16.0,9.1,11.8,11.2
Michoacán ,Superior,11.3,15.0,7.6,10.1,12.8,10.7,12.4,10.4
Morelos,Primaria,1.2,0.8,0.4,0.7,1.0,0.6,1.0,1.3
Morelos,Secundaria,6.1,8.4,2.9,2.9,4.5,3.8,3.3,3.9
Morelos,Media superior,16.8,18.3,17.5,21.5,16.3,11.3,12.6,13.7
Morelos,Superior,6.5,11.2,5.3,4.1,6.7,6.8,6.6,5.7
