Periodo,Producto_Interno_Bruto_Anual,Inversion_en_Innovacion,Porcentaje,,,,,
2024,33980509.00,72962.49,0.21,,,,,
2025,34650228.03,71108.76,0.21,,,,, 
2023,31935813.01,68549.17,0.21,,,,,
2015,19228614.68,63216.53,0.33,,,,,
2014,18137650.62,61462.31,0.34,,,,,
2016,20758790.51,60235.53,0.29,,,,,
2022,29525508.62,59331.10,0.2,,,,,
2021,26690033.39,56434.51,0.21,,,,,
2018,24176670.38,55950.26,0.23,,,,,
2017,22536210.26,54735.74,0.24,,,,,
2020,24086758.13,54245.94,0.23,,,,,
2019,25121823.31,53227.99,0.21,,,,,
2013,16954005.68,52571.79,0.31,,,,,
2012,16529124.02,48237.53,0.29,,,,,
