País,Acumulado ,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1T 2025 P,2T 2025 P,3T 2025 P
Afganistán,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Albania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alemania,21115,458,395,205,214,227,215,351,525,480,736,610,726,806,877,885,899,786,712,960,1027,939,886,805,653,625,676,596,680,798,619,692,731,176,149,194
Andorra,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-
Angola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua y Barbuda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arabia Saudita,45,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,1,7,4,3,2,7,4,4,4,3,2,-,-,-,1,-,-,-
Argelia,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Argentina,190,-,8,3,5,1,-,1,6,3,2,2,5,7,9,5,6,13,7,10,16,6,7,11,8,7,11,5,4,4,8,5,3,1,1,-
Armenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Australia,1759,-,21,20,14,15,13,25,26,31,41,36,44,63,77,103,83,81,79,94,95,65,85,70,69,64,-,61,35,63,62,99,91,21,13,18
Austria,1302,-,11,9,6,9,3,15,23,14,20,22,23,45,25,47,36,35,20,53,66,44,49,70,63,52,52,63,81,94,64,77,72,17,22,21
Azerbaiyán,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,-,-,-,-,-,-,-,-,-
Bahamas,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,2,-,-,2,1,5,9,7,2,2,-,-,-,1,-,1,1,-,1
Bahrein,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Barbados,55,-,-,-,-,-,-,-,-,-,-,4,-,-,-,3,3,7,4,4,4,4,-,4,2,1,3,6,1,3,1,1,-,-,-,-
Belarús (República de),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bélgica,2375,-,46,26,20,16,26,30,55,57,64,72,51,61,59,66,96,66,96,117,177,116,104,82,79,88,74,87,93,109,91,104,95,31,21,23
Belice,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,2,-,-,-,1,2,-,-,1,-,-,-,-,1,-,-,-
Benin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bhután,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bolivia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bosnia y Herzegovina,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-
Botswana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
